# SentiWordNet v3.0.0 (1 June 2010)
# Andrea Esuli
#
# SentiWordNet is distributed under the Attribution-ShareAlike 4.0 Unported (CC BY-SA 4.0) license.
# http://creativecommons.org/licenses/by-sa/4.0/
#
# For any information about SentiWordNet:
# Web: http://sentiwordnet.isti.cnr.it
# -------
#
# Data format.
#
# SentiWordNet v3.0 is based on WordNet version 3.0.
# WordNet website: http://wordnet.princeton.edu/
#
# The pair (POS,ID) uniquely identifies a WordNet (3.0) synset.
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet to the synset.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
# SynsetTerms column reports the terms, with sense number, belonging
# to the synset (separated by spaces).
#
# -------
#
# POS	ID	PosScore	NegScore	SynsetTerms	Gloss
a	00007096	0	0	hygroscopic#1	absorbing moisture (as from the air)
a	00007208	0	0.125	receptive#4	able to absorb liquid (not repellent); "the paper is ink-receptive"
a	00007331	0	0	shock-absorbent#1	having the capacity to absorb the energy of an impact; "the material absorbs shock and is used for shock-absorbent insoles"
a	00007516	0	0	spongy#2 spongelike#2	like a sponge in being able to absorb liquids and yield it back when compressed
a	00007697	0	0	thirsty#4	able to take in large quantities of moisture; "thirsty towels"
a	00007813	0	0.5	nonabsorptive#1 nonabsorbent#1	not capable of absorbing or soaking up (liquids)
a	00007990	0	0.5	resistant#5 repellent#3	incapable of absorbing or mixing with; "a water-repellent fabric"; "plastic highly resistant to steam and water"
a	00008206	0	0	surface-assimilative#1 adsorptive#1 adsorbent#1	having capacity or tendency to adsorb or cause to accumulate on a surface
a	00008443	0	0.25	chemosorptive#1 chemisorptive#1	having the capacity to adsorb by chemical as contrasted with physical forces
a	00008595	0	0.25	nonadsorptive#1 nonadsorbent#1	lacking a capacity to adsorb or cause to accumulate on a surface
a	00008734	0.5	0	absorbable#1	capable of being absorbed or taken in through the pores of a surface
a	00008877	0.25	0	adsorbate#1 adsorbable#1	capable of being adsorbed or accumulated on a surface of a solid
a	00009046	0	0	abstemious#1	sparing in consumption of especially food and drink; "the pleasures of the table, never of much consequence to one naturally abstemious"- John Galsworthy
a	00009346	0	0.625	abstinent#1 abstentious#1	self-restraining; not indulging an appetite especially for food or drink; "not totally abstinent but abstemious"
a	00009618	0.5	0.25	spartan#4 austere#3 ascetical#2 ascetic#2	practicing great self-denial; "Be systematically ascetic...do...something for no other reason than that you would rather not do it"- William James; "a desert nomad's austere life"; "a spartan diet"; "a spartan existence"
a	00009978	0	0	gluttonous#1	given to excess in consumption of especially food or drink; "over-fed women and their gluttonous husbands"; "a gluttonous debauch"; "a gluttonous appetite for food and praise and pleasure"
a	00010385	0	0	crapulous#2	given to gross intemperance in eating or drinking; "a crapulous old reprobate"
a	00010537	0	0.5	crapulous#1 crapulent#1	suffering from excessive eating or drinking; "crapulent sleep"; "a crapulous stomach"
a	00010726	0	0	wolfish#2 voracious#2 ravenous#2 ravening#3 rapacious#3 esurient#3 edacious#1	devouring or craving food in great quantities; "edacious vultures"; "a rapacious appetite"; "ravenous as wolves"; "voracious sharks"
a	00011160	0	0	greedy#3	wanting to eat or drink more than one can reasonably consume; "don't be greedy with the cookies"
a	00011327	0	0.125	swinish#2 porcine#3 piggy#1 piggish#1 hoggish#1	resembling swine; coarsely gluttonous or greedy; "piggish table manners"; "the piggy fat-cheeked little boy and his porcine pot-bellied father"; "swinish slavering over food"
a	00011665	0.125	0.375	too-greedy#1 overgreedy#1	excessively gluttonous
a	00011757	0	0	abstract#1	existing only in the mind; separated from embodiment; "abstract words like `truth' and `justice'"
a	00012071	0.375	0	notional#4 ideational#1 conceptional#1	being of the nature of a notion or concept; "a plan abstract and conceptional"; "to improve notional comprehension"; "a notional response to the question"
a	00012362	0.375	0.25	conceptual#1	being or characterized by concepts or their formation; "conceptual discussions"; "the schizophrenic loses ability to abstract or do conceptual thinking"; "sex is a notional category, gender is a grammatical category"
a	00012689	0	0	ideal#2	constituting or existing only in the form of an idea or mental image or conception; "a poem or essay may be typical of its period in idea or ideal content"
a	00012932	0.125	0.125	ideological#2 ideologic#1	concerned with or suggestive of ideas; "ideological application of a theory"; "the drama's symbolism was very ideological"
a	00013160	0.625	0.25	concrete#1	capable of being perceived by the senses; not abstract or imaginary; "concrete objects such as trees"
a	00013442	0	0	objective#4	belonging to immediate experience of actual things or events; "objective benefits"; "an objective example"; "there is no objective evidence of anything of the kind"
a	00013662	0	0	tangible#2 real#4	capable of being treated as fact; "tangible evidence"; "his brief time as Prime Minister brought few real benefits to the poor"
a	00013887	0	0.25	abundant#1	present in great quantity; "an abundant supply of water"
a	00014358	0	0.25	galore#2 abounding#1	existing in abundance; "abounding confidence"; "whiskey galore"
a	00014490	0.125	0	rich#12 plentiful#2 plenteous#1 copious#2 ample#2	affording an abundant supply; "had ample food for the party"; "copious provisions"; "food is plentiful"; "a plenteous grape harvest"; "a rich supply"
a	00014858	0	0	voluminous#3 copious#1	large in number or quantity (especially of discourse); "she took copious notes"; "a subject of voluminous legislation"
a	00015097	0.25	0.625	easy#12	obtained with little effort or sacrifice, often obtained illegally; "easy money"
a	00015247	0	0.25	riotous#1 profuse#1 luxuriant#3 lush#1 exuberant#3	produced or growing in extreme abundance; "their riotous blooming"
a	00015480	0	0.5	thick#10	abounding; having a lot of; "the top was thick with dust"
a	00015589	0.125	0.375	long#9	having or being more than normal or necessary:"long on brains"; "in long supply"
a	00015720	0.125	0.5	rife#2 plethoric#1 overabundant#1	excessively abundant
a	00015854	0	0.25	plentiful#1	existing in great number or quantity; "rhinoceroses were once plentiful here"
a	00016005	0	0	rampant#3	(of a plant) having a lush and unchecked growth; "a rampant growth of weeds"
a	00016135	0	0.25	rank#5	growing profusely; "rank jungle vegetation"
a	00016247	0.125	0.5	superabundant#1	most excessively abundant
a	00016350	0	0	teeming#1	abundantly filled with especially living things; "the Third World's teeming millions"; "the teeming boulevard"
a	00016532	0	0.375	torrential#3	pouring in abundance; "torrential rains"
a	00016647	0.125	0.5	verdant#1	characterized by abundance of verdure
a	00016756	0	0.25	scarce#1	deficient in quantity or number compared with the demand; "fresh vegetables were scarce during the drought"
a	00017024	0	0.875	rare#3	not widely distributed; "rare herbs"; "rare patches of green in the desert"
a	00017186	0	0.625	tight#6	affected by scarcity and expensive to borrow; "tight money"; "a tight market"
a	00017352	0	0.625	mistreated#1 maltreated#1 ill-treated#1 abused#2	subjected to cruel treatment; "an abused wife"
a	00017509	0	0.75	battered#3	exhibiting symptoms resulting from repeated physical and emotional injury; "a battered child"; "the battered woman syndrome"
a	00017688	0.375	0.25	unabused#1	not physically abused; treated properly
a	00017782	0.625	0	acceptable#1	worthy of acceptance or satisfactory; "acceptable levels of radiation"; "performances varied from acceptable to excellent"
a	00018069	0.25	0	bankable#2	acceptable to or at a bank; "bankable funds"
a	00018222	0.25	0.625	unimpeachable#3 unexceptionable#1	completely acceptable; not open to exception or reproach; "two unexceptionable witnesses"; "a judge's ethics should be unexceptionable"
a	00018435	0	0.5	unobjectionable#3	not objectionable; "the ends are unobjectionable; it's the means that one can't accept"
a	00018584	0.125	0.375	unacceptable#2	not acceptable; not welcome; "a word unacceptable in polite society"; "an unacceptable violation of personal freedom"
a	00018850	0	0.375	objectionable#2 exceptionable#1	liable to objection or debate; used of something one might take exception to; "a thoroughly unpleasant highly exceptionable piece of writing"; "found the politician's views objectionable"
a	00019131	0.625	0	accessible#1	capable of being reached; "a town accessible by rail"
a	00019349	0.375	0	reachable#1 approachable#3	easily approached; "a site approachable from a branch of the Niger"
a	00019505	0.625	0	getatable#1 get-at-able#1 come-at-able#2	capable of being reached or attained; "a very getatable man"; "both oil and coal are there but not in getatable locations"
a	00019731	0.125	0.125	ready_to_hand#1 handy#1	easy to reach; "found a handy spot for the can opener"
a	00019874	0.5	0.125	unaccessible#1 inaccessible#1	capable of being reached only with great difficulty or not at all
a	00020103	0.125	0	remote#4 outback#1	inaccessible and sparsely populated;
a	00020241	0.125	0.25	untrodden#1 untrod#1 untracked#1 trackless#2 roadless#1 pathless#1	lacking pathways; "trackless wilderness"; "roadless areas"
a	00020410	0	0	unreached#1 unreachable#1 unapproachable#2 out_of_reach#1	inaccessibly located or situated; "an unapproachable chalet high in the mountains"; "an unreachable canyon"; "the unreachable stars"
a	00020647	0	0.625	ungetatable#1 un-get-at-able#1 un-come-at-able#1	difficult to reach or attain
a	00020787	0.5	0	accommodative#1 accommodating#1	helpful in bringing about a harmonious adaptation; "the warden was always accommodating in allowing visitors in"; "made a special effort to be accommodating"
a	00021110	0.75	0	obliging#1 complaisant#1	showing a cheerful willingness to do favors for others; "to close one's eyes like a complaisant husband whose wife has taken a lover"; "the obliging waiter was in no hurry for us to leave"
a	00021403	0.25	0.25	unobliging#1 unaccommodating#1	not accommodating; "the unaccommodating bus driver pulled out while she was banging on the door"
a	00021592	0.125	0.25	uncooperative#2 disobliging#1	intentionally unaccommodating; "the action was not offensive to him but proved somewhat disobliging"
a	00021766	0.5	0	accurate#1	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy; "an accurate reproduction"; "the accounting was accurate"; "accurate measurements"; "an accurate scale"
a	00022219	0.625	0	faithful#2 close#5	marked by fidelity to an original; "a close translation"; "a faithful copy of the portrait"; "a faithful rendering of the observed facts"
a	00022437	0.625	0.25	dead-on#1	accurate and to the point; "a dead-on feel for characterization"; "She avoids big scenes...preferring to rely on small gestures and dead-on dialogue"- Peter S.Prescott
a	00022680	0.5	0.125	high-fidelity#1 hi-fi#1	characterized by minimal distortion in sound reproduction; "a high-fidelity recording"; "a hi-fi system"
a	00022852	0.5	0	surgical#3	performed with great precision; "a surgical air strike"
a	00022962	0	0	straight#5	in keeping with the facts; "set the record straight"; "made sure the facts were straight in the report"
a	00023120	0.125	0	true#2 dead_on_target#1	accurately placed or thrown; "his aim was true"; "he was dead on target"
a	00023278	0.875	0	veracious#2 right#14	precisely accurate; "a veracious account"
a	00023383	0.125	0.625	inaccurate#1	not exact; "an inaccurate translation"; "the thermometer is inaccurate"
a	00023655	0	0	outside#10 away#3	(of a baseball pitch) on the far side of home plate from the batter; "the pitch was away (or wide)"; "an outside pitch"
a	00023854	0.125	0.75	wrong#9 incorrect#4 faulty#2	characterized by errors; not agreeing with a model or not following established rules; "he submitted a faulty report"; "an incorrect transcription"; the wrong side of the road"
a	00024139	0	0.5	unfaithful#4	not trustworthy; "an unfaithful reproduction"
a	00024241	0	0.625	wide_of_the_mark#1 wide#7	not on target; "the kick was wide"; "the arrow was wide of the mark"; "a claim that was wide of the truth"
a	00024417	0.125	0	accustomed#1	(often followed by `to') in the habit of or adapted to; "accustomed to doing her own work"; "I've grown accustomed to her face"
a	00024619	0	0.375	wont_to#1 used_to#1	in the habit; "I am used to hitchhiking"; "you'll get used to the idea"; "...was wont to complain that this is a cold world"- Henry David Thoreau
a	00024834	0	0.75	unaccustomed#1	not habituated to; unfamiliar with; "unaccustomed to wearing suits"
a	00024996	0	0.125	new#11	unfamiliar; "new experiences"; "experiences new to him"; "errors of someone new to the job"
a	00025138	0	0.125	unused#4	infrequently exposed to; "feet unused to shoes"
a	00025238	0	0.125	acidic#1	being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)
a	00025470	0	0.375	acid#3	having the characteristics of an acid; "an acid reaction"
a	00025633	0	0.5	acid-forming#1	yielding an acid in aqueous solution
a	00025728	0	0	alkaline#1 alkalic#1	relating to or containing an alkali; having a pH greater than 7; "alkaline soils derived from chalk or limestone"
a	00026051	0.125	0.375	alkalescent#1 alcalescent#1	tending to become alkaline; slightly alkaline
a	00026168	0.25	0	basic#4	of or denoting or of the nature of or containing a base
a	00026294	0.125	0.125	base-forming#1	yielding a base in aqueous solution
a	00026388	0.25	0.125	saltlike#1	resembling a compound formed by replacing hydrogen in an acid by a metal
a	00026515	0.5	0	amphoteric#1 amphiprotic#1	having characteristics of both an acid and a base and capable of reacting as either
a	00026706	0	0.25	acid-loving#1	thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)
a	00026895	0	0	aciduric#1 acidophilous#1 acidophilic#1	especially of some bacteria; growing well in an acid medium
a	00027074	0	0.25	alkaline-loving#1	thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)
a	00027247	0.125	0	acknowledged#1	recognized or made known or admitted; "the acknowledged leader of the community"; "a woman of acknowledged accomplishments"; "his acknowledged error"
a	00027599	0.5	0	recognized#1 recognised#2 accepted#1	generally approved or compelling recognition; "several accepted techniques for treating the condition"; "his recognized superiority in this kind of work"
a	00027833	0	0.125	self-confessed#1	owned up to; "his admitted doubts"; "the conceded error"; "a confessed murderer"; "a self-confessed plagiarist"
a	00028008	0.25	0	assumptive#2	accepted as real or true without proof; "the assumed reason for his absence"; "assumptive beliefs"
a	00028181	0.375	0	declarable#1	that must be declared; "declarable income"
a	00028280	0	0	granted#1 given#1	acknowledged as a supposition; "given the engine's condition, it is a wonder that it started"
a	00028471	0.125	0	putative#1	purported; commonly put forth or accepted as true on inconclusive grounds; "the foundling's putative father"; "the putative author of the book"
a	00028672	0	0.625	unacknowledged#1	not recognized or admitted
a	00028867	0	0.375	unvalued#1 unsung#2 unappreciated#2	having value that is not acknowledged
a	00028984	0.25	0	unavowed#3 secret#3	not openly made known; "a secret marriage"; "a secret bride"
a	00029108	0	0.375	unconfessed#1	not admitted; "unconfessed sins"
a	00029216	0	0.5	unrecognized#1 unrecognised#2	not recognized; "he was unrecognized in his disguise"
a	00029343	0	0	acquisitive#1	eager to acquire and possess things especially material possessions or ideas; "an acquisitive mind"; "an acquisitive society in which the craving for material things seems never satisfied"
a	00029769	0.375	0	accumulative#2	marked by acquiring or amassing; "we live in an accumulative society"
a	00029933	0	0	prehensile#3 greedy#1 grasping#1 grabby#1 covetous#2 avaricious#1	immoderately desirous of acquiring e.g. wealth; "they are avaricious and will do anything for money"; "casting covetous eyes on his neighbor's fields"; "a grasping old miser"; "grasping commercialism"; "greedy for money and power"; "grew richer and greedier"; "prehensile employers stingy with raises for their employees"
a	00030508	0	0	possessive#2	desirous of owning; "small children are so possessive they will not let others play with their toys"
a	00030701	0	0	plundering#1	given to taking by force what is desired
a	00030798	0	0	predatory#3 predacious#2 predaceous#2	living by or given to victimizing others for personal gain; "predatory capitalists"; "a predatory, insensate society in which innocence and decency can prove fatal"- Peter S. Prescott; "a predacious kind of animal--the early geological gangster"- W.E.Swinton
a	00031138	0.25	0.5	voracious#1 ravening#2 rapacious#2	excessively greedy and grasping; "a rapacious divorcee on the prowl"; "ravening creditors"; "paying taxes to voracious governments"
a	00031384	0	0.5	sordid#4	meanly avaricious and mercenary; "sordid avarice"; "sordid material interests"
a	00031533	0	0.5	unacquisitive#1	not acquisitive; not interested in acquiring or owning anything
a	00031674	0	0	acropetal#1	of leaves or flowers; developing or opening in succession from base to apex
a	00031824	0	0	basipetal#1	of leaves or flowers; developing or opening in succession from apex to base
a	00031974	0.5	0.125	active#5	characterized by energetic activity; "an active toddler"; "active as a gazelle"; "an active man is a man of action"
a	00032358	0	0	astir#2 about#1	on the move; "up and about"; "the whole town was astir over the incident"
a	00032497	0.375	0	gymnastic#1 athletic#2 acrobatic#1	vigorously active; "an acrobatic dance"; "an athletic child"; "athletic playing"; "gymnastic exercises"
a	00032733	0	0	spry#1 quick#3 nimble#1 agile#1	moving quickly and lightly; "sleek and agile as a gymnast"; "as nimble as a deer"; "nimble fingers"; "quick of foot"; "the old dog was so spry it was halfway up the stairs before we could stop it"
a	00033077	0.5	0	hot#21	marked by excited activity; "a hot week on the stock market"
a	00033206	0.25	0	overactive#1 hyperactive#1	more active than normal; "a hyperactive child"
a	00033359	0.125	0	on_the_go#1	(of a person) very busy and active; "is always on the go"
a	00033475	0.25	0	sporty#3	appropriate for sport or engagement in a sport
a	00033574	0.375	0.5	inactive#9	not active physically or mentally; "illness forced him to live an inactive life"; "dreamy and inactive by nature"
a	00033886	0.125	0	deskbound#1 desk-bound#1	restricted to working in an office rather than in an active physical capacity
a	00034032	0.25	0.375	dormant#4 abeyant#1	inactive but capable of becoming active; "her feelings of affection are dormant but easily awakened"
a	00034232	0	0.625	underactive#1 hypoactive#1	abnormally inactive
a	00034322	0.25	0.125	torpid#1 soggy#3 sluggish#3 inert#3	slow and apathetic; "she was fat and inert"; "a sluggish worker"; "a mind grown torpid in old age"
a	00034572	0.125	0	sedentary#1	requiring sitting or little activity; "forced by illness to lead a sedentary life"
a	00034710	0	0	active#14	engaged in full-time work; "active duty"; "though past retirement age he is still active in his profession"
a	00034924	0	0.125	activated#4	(military) set up and placed on active assignment; "a newly activated unit"
a	00035074	0	0.375	inactive#8	not engaged in full-time work; "inactive reserve"; "an inactive member"
a	00035254	0	0.625	off#5	not performing or scheduled for duties; "He's off every Tuesday"
a	00035368	0	0.625	retired#1	no longer active in your work or profession
a	00035465	0	0	active#7	full of activity or engaged in continuous activity; "an active seaport"; "an active bond market"; "an active account"
a	00035779	0.25	0.125	brisk#3	very active; "doing a brisk business"
a	00035868	0.5	0	bustling#1	full of energetic and noisy activity; "a bustling city"
a	00035978	0.375	0.25	busy#4	crowded with or characterized by much activity; "a very busy week"; "a busy life"; "a busy street"; "a busy seaport"
a	00036163	0	0.5	going#1	in full operation; "a going concern"
a	00036254	0	0	open#21	ready for business; "the stores are open"
a	00036346	0.125	0.375	springy#2	(of movements) light and confidently active; "he walked away with a springy step"
a	00036481	0.25	0	inactive#7	lacking activity; lying idle or unused; "an inactive mine"; "inactive accounts"; "inactive machinery"
a	00036763	0	0	dark#11	not giving performances; closed; "the theater is dark on Mondays"
a	00036879	0.25	0	dead#17	devoid of activity; "this is a dead town; nothing ever happens here"
a	00036998	0	0.5	sluggish#2 slow#6 dull#8	(of business) not active or brisk; "business is dull (or slow)"; "a sluggish market"
a	00037188	0.125	0.625	unused#3 idle#3	not in active use; "the machinery sat idle during the strike"; "idle hands"
a	00037341	0	0	strikebound#1	closed or immobilized by a strike; "a strikebound airline"
a	00037457	0.375	0.5	active#1	tending to become more severe or wider in scope; "active tuberculosis"
a	00037653	0	0.25	progressive#6	advancing in severity; "progressive paralysis"
a	00037757	0	0.375	inactive#2	(pathology) not progressing or increasing; or progressing slowly
a	00037985	0.125	0.125	dead-end#1	lacking opportunities for development or advancement; "stuck in a dead-end job"
a	00038119	0	0	flat#15	commercially inactive; "flat sales for the month"; "prices remained flat"; "a flat market"
a	00038260	0	0	indolent#2	(of tumors, e.g.) slow to heal or develop and usually painless; "an indolent ulcer"; "leprosy is an indolent infectious disease"
a	00038462	0.125	0.25	latent#2	(pathology) not presently active; "latent infection"; "latent diabetes"
a	00038623	0	0.625	quiescent#4	(pathology) causing no symptoms; "a quiescent tumor"
a	00038750	0.125	0	active#3	disposed to take action or effectuate change; "a director who takes an active interest in corporate operations"; "an active antagonism"; "he was active in drawing attention to their grievances"
a	00039122	0	0	activistic#1 activist#1	advocating or engaged in activism
a	00039259	0	0	hands-on#1	involving active participation; "he's a hands-on manager"; "hands-on operations"
a	00039394	0	0	proactive#2	(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens
a	00039592	0.375	0.25	passive#1 inactive#6	lacking in energy or will; "Much benevolence of the passive order may be traced to a disinclination to inflict pain upon oneself"- George Meredith
a	00039929	0	0.625	hands-off#1	not involving participation or intervention; "a hands-off foreign policy"
a	00040058	0	0.75	unresisting#1 supine#2 resistless#2	offering no resistance; "resistless hostages"; "No other colony showed such supine, selfish helplessness in allowing her own border citizens to be mercilessly harried"- Theodore Roosevelt
a	00040325	0	0.5	active#13	(of e.g. volcanos) erupting or liable to erupt; "active volcanos"
a	00040534	0.125	0.5	eruptive#3	actively spewing out lava; "a geyser is an intermittently eruptive hot spring"
a	00040685	0	0	inactive#5 dormant#2	(of e.g. volcanos) not erupting and not extinct ; "a dormant volcano"
a	00040909	0	0.25	quiescent#3	being quiet or still or inactive
a	00041051	0	0	extinct#2	(of e.g. volcanos) permanently inactive; "an extinct volcano"
a	00041202	0.25	0.625	dead#5	physically inactive; "Crater Lake is in the crater of a dead volcano of the Cascade Range"
a	00041361	0	0.5	active#12	(of e.g. volcanos) capable of erupting
a	00041488	0.5	0	live#11 alive#7	capable of erupting; "a live volcano"; "the volcano is very much alive"
a	00041618	0	0	dynamic#3 active#11	(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being
a	00041841	0	0	stative#1	( used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action
a	00042037	0	0	active#10	expressing that the subject of the sentence has the semantic function of actor: "Hemingway favors active constructions"
a	00042228	0	0	passive#3	expressing that the subject of the sentence is the patient of the action denoted by the verb; "academics seem to favor passive sentences"
a	00042457	0.25	0	active#6	exerting influence or producing a change or effect; "an active ingredient"
a	00042692	0.125	0	activated#3	rendered active; e.g. rendered radioactive or luminescent or photosensitive or conductive
a	00042837	0	0.5	counteractive#1	opposing or neutralizing or mitigating an effect by contrary action
a	00042982	0	0	surface-active#1	capable of lowering the surface tension of a liquid; used especially of detergents
a	00043125	0	0.625	inactive#4	not exerting influence or change
a	00043231	0.125	0.625	quiescent#1	not active or activated; "the quiescent level of centimeter wave-length solar radiation"
a	00043411	0.375	0	active#9	(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions
a	00043615	0	0.5	quiet#6	of the sun characterized by a low level of surface phenomena like sunspots e.g.
a	00043765	0.125	0.5	existent#3 actual#1	presently existing in fact and not merely potential or possible; "the predicted temperature and the actual temperature were markedly different"; "actual and imagined conditions"
a	00044132	0.5	0	effective#5	existing in fact; not theoretical; real; "a decline in the effective demand"; "confused increased equipment and expenditure with the quantity of effective work done"
a	00044353	0	0.25	potential#1 possible#2	existing in possibility; "a potential problem"; "possible uses of nuclear power"
a	00044608	0	0.625	latent#1	potentially existing but not presently evident or realized; "a latent fingerprint"; "latent talent"
a	00044760	0	0.5	acute#1	having or experiencing a rapid onset and short but severe course; "acute appendicitis"; "the acute phase of the illness"; "acute patients"
a	00044987	0	0	subacute#1	less than acute; relating to a disease present in a person with no symptoms of it
a	00045123	0	0.375	chronic#1	being long-lasting and recurrent or characterized by long suffering; "chronic indigestion"; "a chronic shortage of funds"; "a chronic invalid"
a	00045356	0	0.375	degenerative#1	(of illness) marked by gradual deterioration of organs and cells along with loss of function; "degenerative diseases of old age"
a	00045561	0.5	0	virulent#2	infectious; having the ability to cause disease
a	00045735	0.125	0.375	highly_infective#1	(of a microorganism) extremely infective; "a highly infective organism"
a	00045888	0.125	0.25	deadly#6	(of a disease) having a rapid course and violent effect
a	00046014	0	0.875	avirulent#1	not virulent; unable to produce disease
a	00046109	0.25	0	adaptive#1 adaptative#1	having a capacity for adaptation; "the adaptive coloring of a chameleon"
a	00046339	0.625	0.125	reconciling#1 accommodative#3	tending to reconcile or accommodate; bringing into harmony
a	00046471	0	0	adaptational#1	of or relating to adaptation
a	00046558	0.625	0.125	adjustive#1	conducive to adjustment
a	00046673	0.5	0.375	maladaptive#1	showing faulty adaptation
a	00046792	0	0	nonadaptive#1 dysfunctional#2	(of a trait or condition) failing to serve an adjustive purpose; "dysfunctional behavior"
a	00046955	0.375	0.25	maladjustive#1	poorly adjusted
a	00047029	0	0	addicted#1	compulsively or physiologically dependent on something habit-forming; "she is addicted to chocolate"; "addicted to cocaine"
a	00047243	0	0	alcoholic#2 alcohol-dependent#1	addicted to alcohol; "alcoholic expatriates in Paris"- Carl Van Doren
a	00047406	0	0	strung-out#1 hooked#2 drug-addicted#1 dependent#6 dependant#2	addicted to a drug
a	00047566	0	0.125	unaddicted#1	not addicted
a	00047653	0.5	0	clean#18	free of drugs; "after a long dependency on heroin she has been clean for 4 years"
a	00047786	0	0.625	habit-forming#1 addictive#1	causing or characterized by addiction; "addictive drugs"; "addictive behavior"
a	00047954	0.25	0.5	nonaddictive#1	not causing or characterized by addiction; "for years tobacco companies have contended that tobacco is nonaddictive"
a	00048129	0	0.375	additive#2	characterized or produced by addition; "an additive process"
a	00048460	0	0	cumulative#1 accumulative#1	increasing by successive addition; "the benefits are cumulative"; "the eventual accumulative effect of these substances"
